afTimesInSeconds	afPressures1	afPressures2	afPressures3	afPressures4	afPressures5	afPressures6	afPressures7	afPressures8	afAveragePressure	abActiveZones
21.817	0.000	1.000	0.000	6.000	7.000	12.000	8.000	0.000	4.860	1.000
21.935	0.000	0.000	0.000	3.000	5.000	10.000	8.000	0.000	3.748	1.000
22.120	0.000	0.000	0.000	3.000	4.000	9.000	8.000	0.000	3.449	1.000
22.240	0.000	0.000	-1.000	2.000	2.000	7.000	7.000	0.000	2.410	0.000
22.360	0.000	0.000	-1.000	2.000	2.000	7.000	7.000	0.000	2.410	0.000
22.477	0.000	0.000	-1.000	2.000	3.000	7.000	7.000	0.000	2.566	1.000
22.601	0.000	0.000	-1.000	2.000	3.000	7.000	7.000	0.000	2.566	1.000
22.718	0.000	0.000	-1.000	1.000	2.000	6.000	7.000	0.000	2.135	0.000
22.842	0.000	-1.000	-1.000	1.000	2.000	6.000	6.000	0.000	1.875	0.000
22.958	0.000	0.000	-1.000	1.000	2.000	6.000	6.000	0.000	1.992	0.000
23.078	0.000	0.000	-1.000	1.000	2.000	6.000	6.000	0.000	1.992	0.000
23.203	0.000	0.000	-1.000	1.000	2.000	6.000	6.000	0.000	1.992	0.000
23.320	0.000	0.000	-1.000	1.000	2.000	6.000	6.000	0.000	1.992	0.000
23.441	0.000	0.000	-1.000	1.000	2.000	5.000	5.000	-1.000	1.575	0.000
23.559	0.000	-1.000	-1.000	0.000	1.000	4.000	4.000	-1.000	0.884	0.000
23.677	0.000	-1.000	-1.000	0.000	1.000	3.000	3.000	-1.000	0.598	0.000
23.800	0.000	-1.000	-2.000	0.000	1.000	2.000	3.000	-1.000	0.289	0.000
23.916	0.000	0.000	-1.000	0.000	0.000	1.000	1.000	-1.000	-0.012	0.000
24.040	0.000	0.000	-1.000	0.000	0.000	1.000	1.000	-1.000	-0.012	0.000
24.159	0.000	0.000	-1.000	0.000	0.000	1.000	1.000	-1.000	-0.012	0.000
24.341	0.000	0.000	-1.000	0.000	0.000	0.000	0.000	-2.000	-0.429	0.000
24.459	0.000	0.000	-1.000	0.000	0.000	0.000	0.000	-2.000	-0.429	0.000
24.580	0.000	0.000	-1.000	0.000	0.000	0.000	0.000	-1.000	-0.298	0.000
24.700	0.000	1.000	0.000	0.000	0.000	1.000	0.000	-1.000	0.129	0.000
24.817	0.000	1.000	0.000	0.000	0.000	1.000	0.000	-1.000	0.129	0.000
24.939	0.000	1.000	0.000	0.000	0.000	1.000	0.000	-1.000	0.129	0.000
25.058	0.000	1.000	0.000	0.000	0.000	1.000	0.000	-1.000	0.129	0.000
25.180	0.000	1.000	-1.000	0.000	0.000	1.000	0.000	-1.000	-0.037	0.000
25.296	0.000	0.000	-1.000	0.000	0.000	0.000	0.000	-1.000	-0.298	0.000
25.417	0.000	0.000	-1.000	0.000	-1.000	1.000	0.000	-1.000	-0.311	0.000
25.597	0.000	0.000	-1.000	-1.000	-1.000	0.000	0.000	-1.000	-0.586	0.000
25.719	0.000	-3.000	-3.000	-2.000	-2.000	0.000	0.000	-1.000	-1.558	0.000
